record,species,count,lat
1,Royal / Wandering albatross,6,-45.916666666666664
2,Black-browed albatross sensu lato,2,-35.53333333333333
3,Cape petrel,8,-37.666666666666664
4,Fairy prion,2,-40
5,Sooty shearwater,4,-36.166666666666664
6,Royal albatross sensu lato,10,-35.416666666666664
7,Black-browed albatross sensu lato,2,-35.25
8,Sooty shearwater,18,-35.3
9,Royal albatross sensu lato,10,-36.5
10,Black-browed albatross sensu lato,2,-36.333333333333336
11,Cape petrel,2,-39.18333333333333
12,Prion (unidentified),2,NA
13,Sooty shearwater,8,-39.666666666666664
14,Seabird (Unidentified),1,-39.666666666666664
15,Royal albatross sensu lato,14,-39.85
16,Black-browed albatross sensu lato,4,-39.93333333333333
17,Giant petrel sensu lato,3,-40
18,Cape petrel,8,-40
19,Fairy prion,18,-40.1
20,Fairy prion,6,-40.166666666666664
21,Black petrel,55,-40.2
22,Australasian gannet,12,-40.21666666666667
23,Wilson's storm petrel,22,-33
24,Australasian gannet,7,-33
25,Wandering albatross sensu lato AD,4,-34
26,Wandering albatross sensu lato JUV,2,-35
27,Royal albatross sensu lato AD,3,-36
28,Northern giant petrel,3,-37
29,White-chinned petrel,1,-39
30,Sooty shearwater,1,-40
31,Wandering albatross sensu lato AD,4,-40
32,Wandering albatross sensu lato JUV,2,-40
33,Royal albatross sensu lato,3,-41
34,Northern giant petrel,1,-42
35,White-chinned petrel,1,-42
36,Wandering albatross sensu lato AD,3,-43
37,Wandering albatross sensu lato IMM,4,-44
38,Northern royal albatross AD,2,-46
39,Royal albatross sensu lato,4,-46
40,White-chinned petrel,2,-36
41,Petrel (unidentified),2,-34
42,Wandering albatross sensu lato IMM,1,-34
43,Royal albatross sensu lato,3,-34
44,Royal albatross sensu lato AD,1,-34
45,Sooty shearwater,1,-34
46,Australasian gannet,1,-34
47,[NO BIRDS RECORDED],NA,-34
48,Wandering albatross sensu lato IMM,3,-34
49,Royal albatross sensu lato AD,2,-34
50,Black-browed albatross sensu lato AD,3,-34
51,White-chinned petrel,3,-34
52,Wandering albatross sensu lato IMM,3,-34
53,Royal albatross sensu lato AD,2,-34
54,Black-browed albatross sensu lato AD,3,-33
55,White-chinned petrel,6,-34
56,Sooty shearwater,48,-33
57,Diving-petrel (unidentified),1,-33
58,Wandering albatross sensu lato IMM,3,-33
59,Royal albatross sensu lato AD,2,-33
60,Black-browed albatross sensu lato AD,3,-33
61,Wandering albatross sensu lato IMM,3,-33
62,Royal albatross sensu lato AD,2,-33
63,Black-browed albatross sensu lato AD,3,-45
64,Wandering albatross sensu lato IMM,3,-45
65,Royal albatross sensu lato AD,2,-46
66,Black-browed albatross sensu lato AD,3,-46
67,Diving-petrel (unidentified),2,-46
68,Wandering albatross sensu lato AD,1,-46
69,Wandering albatross sensu lato IMM,1,-46
70,Southern royal albatross AD,2,-46
71,Southern royal albatross SUBAD,3,-45
72,Cape petrel,4,-45
73,Broad-billed prion,48,-45
74,Wandering albatross sensu lato IMM,1,-45
75,Royal albatross sensu lato IMM,1,-45
76,Fairy prion,4,-45
77,Buller's shearwater,4,-44
78,Sooty shearwater,2,-44
79,Broad-billed prion,32,-44
80,Wandering albatross sensu lato IMM,2,-44
81,Buller's shearwater,2,-43
82,Skua (unidentified),1,-43
83,Wandering albatross sensu lato IMM,2,-42
84,Cape petrel,3,-42
85,Buller's shearwater,15,-42
86,Sooty shearwater,2,-42
87,Australasian gannet,2,-42
88,Wandering albatross sensu lato SUBAD,6,-41
89,Black-browed albatross sensu lato SUBAD,1,-40
90,Cape petrel,5,-40
91,Flesh-footed shearwater,1,-39
92,Subantarctic skua,1,-39
93,Wedge-tailed shearwater,40,-39
94,Black-winged petrel,2,-39
95,Wandering albatross sensu lato SUBAD,7,-33.083333333333336
96,Black-browed albatross sensu lato AD,1,-33
97,Black-browed albatross sensu lato SUBAD,1,-33
98,Cape petrel,3,-33
99,Pomarine skua,2,-33.03333333333333
100,Wandering albatross sensu lato AD,1,-32
